Variable,N,Mean,SD,Min,Median,Max
Household Size (total),162,4.5246913580246915,2.1959890520152454,1.0,4.0,16.0
Men,163,1.6625766871165644,0.8904213102927878,0.0,1.0,6.0
Women,161,1.7453416149068324,1.1417065248214515,0.0,2.0,12.0
Children,126,1.7301587301587302,1.376445848772546,0.0,2.0,10.0
Respondent Age (years),66,56.78787878787879,15.633804745353924,27.0,60.0,88.0
Number of Workers,210,0.0380952380952381,0.25598331000504565,0.0,0.0,3.0
