Variable,N,Mean,SD,Min,Median,Max
Vendor Age (years),218,49.85321100917431,29.55907174389615,0.0,48.0,431.0
Number of Staff,214,2.397196261682243,4.49372975662976,0.0,1.0,60.0
Years at Current Location,227,26.26431718061674,187.62691446281636,0.0,6.0,2010.0
