Vendor Type,N,Mean (min),SD,Min,Median,Max
Street Vendor,71,10.211267605633802,5.3583459413669985,3.0,10.0,30.0
Wet Market,125,5.92,4.415149871419629,0.0,5.0,30.0
Supermarket,39,7.076923076923077,5.864184851077884,0.0,5.0,25.0
Convenience Store,24,7.583333333333333,8.443761096174818,1.0,5.0,40.0
Restaurant,66,6.46969696969697,4.930968689258958,0.0,5.0,30.0
Food Truck,60,12.666666666666666,6.363739084943925,3.0,10.0,30.0
Other,3,3.3333333333333335,1.5275252316519465,2.0,3.0,5.0
