Variable,N,Mean,SD,Min,Median,Max
Neighborhood Cleanliness,162,1.4444444444444444,0.9325048082403139,-2.0,2.0,2.0
Neighborhood Safety,161,1.6583850931677018,0.7834665760429078,-2.0,2.0,2.0
Neighborhood Reputation,160,1.5875,0.7301890855312279,-2.0,2.0,2.0
