Vendor Type,N,Mean (min),SD,Min,Median,Max
Vendor Type 1,71,10.211267605633802,5.3583459413669985,3.0,10.0,30.0
Vendor Type 2,125,5.92,4.415149871419629,0.0,5.0,30.0
Vendor Type 3,39,7.076923076923077,5.864184851077884,0.0,5.0,25.0
Vendor Type 4,24,7.583333333333333,8.443761096174818,1.0,5.0,40.0
Vendor Type 5,66,6.46969696969697,4.930968689258958,0.0,5.0,30.0
Vendor Type 6,60,12.666666666666666,6.363739084943925,3.0,10.0,30.0
Vendor Type 7,3,3.3333333333333335,1.5275252316519465,2.0,3.0,5.0
