Variable,Label,N,Missing,Mean,SD,Min,Q25,Median,Q75,Max,Skewness,Kurtosis
OP009_travel_time,Travel Time (min),125,89,5.92,4.415149871419629,0.0,3.0,5.0,7.0,30.0,2.189982079957463,7.413423548230265
OP012_monthly_food_expenditure,Food Expenditure,142,72,8700084.570422536,15874416.531944634,9.0,3600000.0,6000000.0,9000000.0,150000000.0,7.5596223463642,61.31248175129067
OP019_water_distance,Water Distance (min),99,115,-0.5858585858585859,0.7285728432773521,-1.0,-1.0,-1.0,0.0,1.0,1.4363008647386277,0.4556976715937555
OP029_HDDS,HDDS (Primary DV),214,0,5.074766355140187,3.7758832802528146,0.0,0.0,6.0,8.0,15.0,-0.05275269352196635,-1.1353851202865004
OP025_safety_index,Safety Index,162,52,1.5648148148148149,0.6037180636232989,-2.0,1.3333333333333333,1.6666666666666667,2.0,2.0,-2.1322896443117942,7.255767635005643
