OP011_accessibility_tier,N,HDDS_Mean,HDDS_SD,Diet_Diverse_Pct,t_statistic,p_value,cohens_d,significant
Close,88,7.02,2.78,0,-0.11067269115021175,0.9120562841818136,-0.021684693043919716,No
Far,37,7.08,2.45,0,-0.11067269115021175,0.9120562841818136,-0.021684693043919716,No
