Variable,B,SE,t,p,Beta,Note
Model Summary,,,,,,"N=104, R²=0.028, Adj R²=-0.002, F(3,100)=0.95, p=0.420"
Intercept,7.765,0.485,16.024,0.000,,
OP009_travel_time,-0.112,0.070,-1.609,0.111,-0.190,ns
OP016_budget_share_pct,-0.004,0.004,-0.922,0.359,-0.160,ns
OP009_x_OP016,0.000,0.001,0.837,0.405,0.157,ns
